hotel name,hotel URL,hotel ID,travel safe expect,travel safe note
Delta Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d2483862-Reviews-Delta_Hotel-Hong_Kong.html,d2483862,None,None
Concerto Inn,https://www.tripadvisor.com//Hotel_Review-g294217-d1737218-Reviews-Concerto_Inn-Hong_Kong.html,d1737218,None,None
Hotel Hart,https://www.tripadvisor.com//Hotel_Review-g294217-d12309689-Reviews-Hotel_Hart-Hong_Kong.html,d12309689,None,None
Espace Elastique B&B,https://www.tripadvisor.com//Hotel_Review-g294217-d1905402-Reviews-Espace_Elastique_B_B-Hong_Kong.html,d1905402,None,None
Noah's Ark Hotel & Resort,https://www.tripadvisor.com//Hotel_Review-g294217-d1762000-Reviews-Noah_s_Ark_Hotel_Resort-Hong_Kong.html,d1762000,None,None
Warwick Hotel Cheung Chau,https://www.tripadvisor.com//Hotel_Review-g294217-d309419-Reviews-Warwick_Hotel_Cheung_Chau-Hong_Kong.html,d309419,   Individually wrapped toiletries   ,None
Lee Garden Guest House,https://www.tripadvisor.com//Hotel_Review-g294217-d1625600-Reviews-Lee_Garden_Guest_House-Hong_Kong.html,d1625600,None,None
The Emperor Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d13215104-Reviews-The_Emperor_Hotel-Hong_Kong.html,d13215104,None,None
Walden Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d878389-Reviews-Walden_Hotel-Hong_Kong.html,d878389,None,None
Butterfly on LKF,https://www.tripadvisor.com//Hotel_Review-g294217-d15232433-Reviews-Butterfly_on_LKF-Hong_Kong.html,d15232433,   Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Daily temperature and symptom checks for staff   ,None
Brighton Hotel Hong Kong,https://www.tripadvisor.com//Hotel_Review-g294217-d4605787-Reviews-Brighton_Hotel_Hong_Kong-Hong_Kong.html,d4605787,None,None
The South China Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d309411-Reviews-The_South_China_Hotel-Hong_Kong.html,d309411,None,None
Twenty One Whitfield,https://www.tripadvisor.com//Hotel_Review-g294217-d4062917-Reviews-Twenty_One_Whitfield-Hong_Kong.html,d4062917,None,None
Hotel Madera Hollywood,https://www.tripadvisor.com//Hotel_Review-g294217-d8522570-Reviews-Hotel_Madera_Hollywood-Hong_Kong.html,d8522570,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff   , Madera Group 已通過SGS衛生控制管理系統認證。為香港首個管理集團採用Raze 納米光觸媒技術消毒。 
The Olympian Hong Kong,https://www.tripadvisor.com//Hotel_Review-g294217-d9706239-Reviews-The_Olympian_Hong_Kong-Hong_Kong.html,d9706239,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Individually wrapped toiletries   ," We Care About Your Well-being and Safety

Please note the escalated levels of precautionary measures to coronavirus (COVID-19) instituted at our hotel:  bit.ly/SinoHotels-Precautions  "
The Bauhinia Hotel - Tsim Sha Tsui,https://www.tripadvisor.com//Hotel_Review-g294217-d1901458-Reviews-The_Bauhinia_Hotel_Tsim_Sha_Tsui-Hong_Kong.html,d1901458,None,None
Popway Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d8145994-Reviews-Popway_Hotel-Hong_Kong.html,d8145994,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff   ," Popway Hotel adopted ""Raze Nano-photocatalyst"" protection treatments, the disinfection has been applied to all public areas, facilities and our restaurant. All areas have been purified and decomposed bacteria, viruses and indoor pollutants immediately and coated with a protective film provides continuous disinfecting protection for up to 3 months after treatment. "
