,bed,best,birthday,breakfast,check,clean,come,comfortable,definitely,desk,dinner,especially,excellent,experience,family,feel,food,friend,friendly,good,great,guest,helpful,just,like,location,lounge,make,need,nice,night,overall,park,pool,really,recommend,restaurant,room,service,spacious,special,staff,staycation,stayed,team,thank,thanks,time,view,wonderful
bed,0.0,0.09698996655518399,0.07317073170731703,0.09638554216867468,0.10256410256410253,0.11764705882352944,0.0657534246575342,0.18911174785100282,0.04947916666666663,0.09365558912386707,0.08999999999999997,0.06402439024390238,0.07434052757793763,0.06999999999999995,0.09855072463768111,0.0641025641025641,0.10217391304347823,0.08637873754152825,0.08659793814432992,0.101010101010101,0.08646003262642743,0.09259259259259256,0.05857740585774063,0.13888888888888884,0.09951456310679607,0.10297482837528604,0.05671641791044779,0.08176100628930816,0.10778443113772451,0.10197368421052633,0.12222222222222223,0.09259259259259256,0.06172839506172845,0.08695652173913049,0.08396946564885499,0.06005221932114879,0.11053984575835474,0.1358249772105743,0.07607361963190185,0.10364145658263302,0.03293413173652693,0.09873949579831931,0.06810035842293904,0.10511363636363635,0.051136363636363646,0.05012531328320802,0.03183023872679047,0.11505922165820648,0.11654135338345861,0.03801169590643272
best,0.09698996655518399,0.0,0.08196721311475408,0.08333333333333337,0.09322033898305082,0.059615384615384626,0.08356545961002781,0.08638743455497377,0.08042895442359255,0.05847953216374269,0.07565789473684215,0.08385093167701863,0.07951807228915664,0.10537190082644632,0.07365439093484416,0.09933774834437081,0.0903225806451613,0.09364548494983282,0.09109730848861286,0.08073654390934848,0.10631229235880402,0.0993788819875776,0.07203389830508478,0.0732984293193717,0.09156626506024101,0.08314606741573038,0.05671641791044779,0.08176100628930816,0.09792284866468848,0.05845181674565558,0.06596306068601587,0.08923076923076922,0.06832298136645965,0.07615894039735094,0.06766917293233088,0.06561679790026242,0.09644670050761417,0.1026548672566372,0.12435897435897436,0.08241758241758246,0.08150470219435735,0.1033755274261603,0.09157509157509158,0.07756232686980613,0.08187134502923976,0.1114058355437666,0.11142857142857143,0.13230240549828176,0.09594095940959413,0.0757575757575758
birthday,0.07317073170731703,0.08196721311475408,0.0,0.0587044534412956,0.1339805825242718,0.08978873239436624,0.10386473429951693,0.07572383073496658,0.11876484560570066,0.05651105651105648,0.1033519553072626,0.10317460317460314,0.11206896551724133,0.1313320825515948,0.11750000000000005,0.05820105820105825,0.09732824427480913,0.13832853025936598,0.08576642335766427,0.08344198174706652,0.12404287901990807,0.09326424870466321,0.07894736842105265,0.091324200913242,0.08995815899581594,0.05566218809980805,0.06835443037974687,0.07291666666666663,0.04784688995215314,0.12671755725190836,0.0875576036866359,0.057644110275689275,0.10160427807486627,0.04244031830238726,0.1026785714285714,0.09468822170900693,0.06382978723404253,0.1546572934973638,0.134453781512605,0.07943925233644855,0.1315068493150685,0.1378958120531154,0.136986301369863,0.05057471264367819,0.12307692307692308,0.16229116945107402,0.1283950617283951,0.10318664643399089,0.12013536379018608,0.13101604278074863
breakfast,0.09638554216867468,0.08333333333333337,0.0587044534412956,0.0,0.1585585585585586,0.13949579831932768,0.10021321961620466,0.092741935483871,0.06854838709677424,0.07947019867549665,0.1978891820580475,0.08181818181818179,0.10576923076923073,0.10887772194304857,0.09287257019438444,0.07746478873239437,0.19848771266540643,0.06823529411764706,0.11604095563139927,0.17880794701986757,0.14595375722543358,0.12910798122065725,0.10086956521739132,0.14743589743589747,0.1507936507936508,0.0972972972972973,0.14797136038186154,0.07045454545454544,0.11685393258426968,0.14511494252873558,0.125,0.11860465116279073,0.11347517730496459,0.15012722646310428,0.11267605633802813,0.06175298804780871,0.15975103734439833,0.20333041191936896,0.13961407491486943,0.11802575107296143,0.0875576036866359,0.15794669299111552,0.17560975609756102,0.09554140127388533,0.0780911062906724,0.08982035928143717,0.06832298136645965,0.18731117824773413,0.18780889621087316,0.09794988610478361
check,0.10256410256410253,0.09322033898305082,0.1339805825242718,0.1585585585585586,0.0,0.14396284829721362,0.12915851272015655,0.09836065573770492,0.11509433962264148,0.14583333333333337,0.1051502145922747,0.08484848484848484,0.08904109589041098,0.17752442996742668,0.08206106870229013,0.10403397027600847,0.1356209150326797,0.07515657620041749,0.13132911392405067,0.16687116564417181,0.1634877384196185,0.14345991561181437,0.10685805422647532,0.1390476190476191,0.142602495543672,0.10378912685337727,0.0949494949494949,0.13191489361702124,0.12955465587044535,0.1610284167794317,0.10242085661080069,0.0905432595573441,0.10602910602910598,0.14,0.14338919925512106,0.10204081632653061,0.12727272727272732,0.25130890052356025,0.20885357548240635,0.13450292397660824,0.10810810810810811,0.212180746561886,0.16148148148148145,0.08662900188323919,0.11823647294589179,0.1158088235294118,0.11175337186897882,0.24011713030746706,0.17771084337349397,0.0881763527054108
clean,0.11764705882352944,0.059615384615384626,0.08978873239436624,0.13949579831932768,0.14396284829721362,0.0,0.11475409836065575,0.16211293260473592,0.12792792792792795,0.08938547486033521,0.08267716535433067,0.08128544423440454,0.12773109243697478,0.1263001485884101,0.0985401459854015,0.07558139534883723,0.1370716510903427,0.08695652173913049,0.20192307692307687,0.20390720390720396,0.16361256544502623,0.08867924528301885,0.17391304347826086,0.1164021164021164,0.12292358803986714,0.1633663366336634,0.07249070631970256,0.06779661016949157,0.0981481481481481,0.21496598639455777,0.11170212765957444,0.1053639846743295,0.06779661016949157,0.0916334661354582,0.10750853242320824,0.12926391382405744,0.13518197573656843,0.313953488372093,0.16896918172157283,0.2003891050583657,0.0757575757575758,0.23804878048780487,0.1502808988764045,0.09285714285714286,0.0703971119133574,0.08998302207130726,0.08127208480565373,0.15748031496062997,0.1823444283646889,0.10516252390057357
come,0.0657534246575342,0.08356545961002781,0.10386473429951693,0.10021321961620466,0.12915851272015655,0.11475409836065575,0.0,0.10185185185185186,0.20519480519480515,0.07088607594936713,0.048648648648648596,0.08753315649867377,0.06708595387840666,0.11194029850746268,0.10275689223057649,0.0767123287671233,0.09864603481624756,0.0807799442896936,0.11787072243346008,0.11804613297150612,0.10823170731707321,0.0949868073878628,0.10526315789473684,0.10563380281690138,0.10064239828693788,0.07952286282306165,0.06958762886597936,0.08288770053475936,0.08564231738035266,0.1368584758942457,0.08139534883720934,0.06683804627249357,0.051948051948051965,0.07520891364902504,0.11187214611872143,0.07852193995381063,0.1004464285714286,0.13850174216027877,0.1481028151774786,0.10169491525423724,0.07407407407407407,0.13306038894575234,0.13080895008605853,0.09223300970873782,0.08564231738035266,0.10854503464203236,0.1029411764705882,0.19999999999999996,0.11016949152542377,0.09473684210526312
comfortable,0.18911174785100282,0.08638743455497377,0.07572383073496658,0.092741935483871,0.09836065573770492,0.16211293260473592,0.10185185185185186,0.0,0.10609480812641081,0.08192771084337347,0.05882352941176472,0.08728179551122195,0.12159329140461217,0.11071428571428577,0.08372093023255811,0.12634408602150538,0.11444652908067543,0.09234828496042213,0.12867647058823528,0.13484646194926564,0.10572687224669608,0.07560975609756093,0.1425818882466281,0.1019955654101996,0.11570247933884292,0.1312127236580517,0.07823960880195602,0.1136950904392765,0.08037825059101655,0.15045592705167177,0.08628318584070793,0.11363636363636365,0.061576354679802936,0.07012987012987015,0.08686440677966101,0.1128668171557562,0.10191082802547768,0.17756183745583043,0.14353499406880188,0.10068649885583525,0.051094890510948954,0.16205128205128205,0.11783960720130937,0.11214953271028039,0.10922330097087374,0.12195121951219512,0.09677419354838712,0.12859304084720125,0.1312292358803987,0.08866995073891626
definitely,0.04947916666666663,0.08042895442359255,0.11876484560570066,0.06854838709677424,0.11509433962264148,0.12792792792792795,0.20519480519480515,0.10609480812641081,0.0,0.09250000000000003,0.05789473684210522,0.06801007556675065,0.1127659574468085,0.12338858195211788,0.11274509803921573,0.07957559681697612,0.09811320754716979,0.15186246418338112,0.12734082397003743,0.1011826544021025,0.15600624024960996,0.056650246305418706,0.13035019455252916,0.0825892857142857,0.08196721311475408,0.09215686274509804,0.06716417910447758,0.06075949367088607,0.07228915662650603,0.12537764350453173,0.0788288288288288,0.07250000000000001,0.07161125319693096,0.04712041884816753,0.09628008752735229,0.15625,0.0787234042553191,0.15775635407537247,0.14837153196622432,0.12740384615384615,0.09090909090909094,0.14504596527068436,0.13344594594594594,0.11270983213429253,0.09068627450980393,0.11261261261261257,0.09692671394799057,0.12576687116564422,0.13389830508474576,0.10256410256410253
desk,0.09365558912386707,0.05847953216374269,0.05651105651105648,0.07947019867549665,0.14583333333333337,0.08938547486033521,0.07088607594936713,0.08192771084337347,0.09250000000000003,0.0,0.04941860465116277,0.1264705882352941,0.11059907834101379,0.111328125,0.05626598465473143,0.12269938650306744,0.06706114398422092,0.08408408408408408,0.10216110019646363,0.1193820224719101,0.1146496815286624,0.10857142857142854,0.11570247933884292,0.09900990099009899,0.1378504672897196,0.10256410256410253,0.060109289617486295,0.09883720930232553,0.11294765840220389,0.10344827586206895,0.1116751269035533,0.060109289617486295,0.07999999999999996,0.07164179104477608,0.12469437652811732,0.07055961070559613,0.0938967136150235,0.1327433628318584,0.12608158220024723,0.08905852417302795,0.06760563380281692,0.14044350580781417,0.0806174957118353,0.09302325581395354,0.10081743869209814,0.10757946210268954,0.07908163265306123,0.09999999999999998,0.09027777777777779,0.0657534246575342
