,bed,best,big,breakfast,check,choice,clean,comfortable,definitely,delivered,delivery,desk,did,dorsett,excellent,experience,food,friendly,good,great,guest,helpful,highly,just,like,make,manager,meal,need,nice,night,order,overall,provided,quality,really,recommend,request,room,service,small,spacious,staff,stayed,team,thank,time,view,water,window
bed,0.0,0.09740259740259738,0.15839243498817968,0.13443396226415094,0.16108786610878656,0.12222222222222223,0.1700879765395894,0.22350674373795765,0.06783369803063455,0.152744630071599,0.18959107806691455,0.19560439560439558,0.13181818181818183,0.11479028697571747,0.10447761194029848,0.12751677852348997,0.195496417604913,0.11631944444444442,0.18615751789976132,0.10999999999999999,0.10869565217391308,0.10869565217391308,0.07773109243697474,0.15573770491803274,0.1684587813620072,0.12979890310786102,0.08126410835214448,0.1908783783783784,0.14356435643564358,0.14886164623467601,0.12272727272727268,0.13793103448275867,0.12249443207126953,0.16945606694560666,0.12558139534883717,0.13780260707635006,0.11480865224625625,0.128421052631579,0.19725818735719725,0.14909478168264112,0.19323671497584538,0.101010101010101,0.14468864468864473,0.11053540587219346,0.07499999999999996,0.07692307692307687,0.1791666666666667,0.16561514195583593,0.22494432071269488,0.18609865470852016
best,0.09740259740259738,0.0,0.10353535353535348,0.07537688442211055,0.09368191721132901,0.0997566909975669,0.10698365527488851,0.12790697674418605,0.07940446650124067,0.08585858585858586,0.1117424242424242,0.11085972850678738,0.10972568578553621,0.07109004739336489,0.10677618069815198,0.1275045537340619,0.11947791164658639,0.08856088560885611,0.12157330154946366,0.10197869101978696,0.09956709956709953,0.09712230215827333,0.1004784688995215,0.10845986984815614,0.12172284644194753,0.13682092555331993,0.1122715404699739,0.11073253833049401,0.1228070175438597,0.1166666666666667,0.07823960880195602,0.09135802469135801,0.06872037914691942,0.08119658119658124,0.06683168316831678,0.1093439363817097,0.10178571428571426,0.09772727272727277,0.13868065967016496,0.1299559471365639,0.07560975609756093,0.0982142857142857,0.135673624288425,0.10074626865671643,0.11031175059952036,0.10766045548654246,0.14203730272596848,0.1282894736842105,0.08991228070175439,0.09174311926605505
big,0.15839243498817968,0.10353535353535348,0.0,0.10187667560321712,0.10478359908883828,0.07673267326732669,0.15007898894154814,0.11001964636542239,0.08571428571428574,0.10427807486631013,0.13772455089820357,0.11267605633802813,0.09743589743589742,0.08750000000000002,0.07186858316221767,0.10256410256410253,0.14018691588785048,0.12133072407045009,0.14640198511166258,0.10124610591900307,0.09111111111111114,0.10223048327137552,0.07524271844660191,0.11764705882352944,0.11281070745697896,0.09381237524950103,0.09946236559139787,0.12190812720848054,0.11449016100178888,0.1290944123314065,0.07341772151898729,0.12732095490716178,0.10432569974554706,0.108843537414966,0.08376963350785338,0.1389473684210526,0.09289617486338797,0.08120649651972156,0.14394516374714394,0.11001100110010997,0.10994764397905754,0.09447004608294929,0.12488083889418489,0.10617760617760619,0.09852216748768472,0.09745762711864403,0.12247838616714701,0.1475128644939966,0.13744075829383884,0.17091836734693877
breakfast,0.13443396226415094,0.07537688442211055,0.10187667560321712,0.0,0.12529550827423164,0.12105263157894741,0.10785824345146378,0.09881422924901184,0.06788511749347259,0.12222222222222223,0.11976047904191611,0.12864077669902918,0.09973753280839892,0.05970149253731338,0.09850107066381153,0.07818181818181813,0.13319458896982306,0.10371819960861062,0.12132352941176472,0.11501597444089462,0.12354312354312358,0.09158878504672896,0.13315926892950392,0.12268518518518523,0.13690476190476186,0.13953488372093026,0.10803324099722988,0.12186379928315416,0.1123188405797102,0.07649253731343286,0.10079575596816981,0.10933333333333328,0.08974358974358976,0.11888111888111885,0.11263736263736268,0.14655172413793105,0.13001912045889097,0.08551068883610446,0.13709063214013706,0.11982082866741317,0.12771739130434778,0.11217183770883055,0.11417697431018081,0.12127236580516898,0.08706467661691542,0.08297872340425527,0.13737075332348592,0.12244897959183676,0.1404358353510896,0.1392405063291139
check,0.16108786610878656,0.09368191721132901,0.10478359908883828,0.12529550827423164,0.0,0.12866817155756205,0.14265129682997113,0.14130434782608692,0.09772727272727277,0.1435406698564593,0.16300366300366298,0.15170940170940173,0.12814645308924488,0.11856823266219241,0.12667946257197693,0.144082332761578,0.1583665338645418,0.13928571428571423,0.16216216216216217,0.1286549707602339,0.15592515592515588,0.11714770797962648,0.10675381263616557,0.13849287169042768,0.14920071047957373,0.17432950191570884,0.14769975786924938,0.16086235489220568,0.168081494057725,0.12435233160621761,0.1267281105990783,0.1212814645308925,0.12895927601809953,0.13991769547325106,0.09360730593607303,0.1348314606741573,0.11952861952861948,0.120253164556962,0.18174962292609353,0.16612377850162863,0.15330188679245282,0.09533468559837732,0.16901408450704225,0.11733800350262702,0.1280353200883002,0.12765957446808507,0.19716312056737584,0.11890243902439024,0.14978902953586493,0.1366594360086768
choice,0.12222222222222223,0.0997566909975669,0.07673267326732669,0.12105263157894741,0.12866817155756205,0.0,0.09425625920471281,0.12840466926070038,0.07178217821782173,0.11458333333333337,0.12716763005780352,0.10633484162895923,0.11027568922305764,0.06888361045130642,0.12343096234309625,0.10971223021582732,0.15937500000000004,0.09906542056074763,0.14233576642335766,0.1352201257861635,0.09287257019438444,0.1135531135531136,0.10895883777239712,0.10173160173160178,0.11380597014925375,0.1305220883534136,0.06801007556675065,0.15658362989323849,0.11538461538461542,0.1150278293135436,0.07862407862407861,0.14583333333333337,0.09512195121951217,0.10526315789473684,0.09999999999999998,0.11422845691382766,0.11818181818181817,0.11860465116279073,0.14145974416854779,0.12651265126512656,0.08128078817733986,0.11363636363636365,0.12101313320825513,0.08088235294117652,0.08726415094339623,0.07028112449799195,0.15574963609898107,0.14957983193277313,0.11738148984198649,0.13126491646778038
clean,0.1700879765395894,0.10698365527488851,0.15007898894154814,0.10785824345146378,0.14265129682997113,0.09425625920471281,0.0,0.1942544459644323,0.10670731707317072,0.11956521739130432,0.20109439124487005,0.13169319826338644,0.10510510510510507,0.11897590361445787,0.13854595336076814,0.1389236545682102,0.2689530685920578,0.2002724795640327,0.26618705035971224,0.18436406067677946,0.1479885057471264,0.18865435356200533,0.11259259259259258,0.1264044943820225,0.14987080103359174,0.13227513227513232,0.1099071207430341,0.19822109275730626,0.17699115044247793,0.1809775429326288,0.094170403587444,0.14531249999999996,0.13455657492354745,0.15674891146589265,0.10397553516819569,0.16460905349794241,0.17161290322580647,0.12173913043478257,0.36706948640483383,0.22854477611940294,0.14733542319749215,0.16000000000000003,0.3029772329246935,0.15921052631578947,0.10395314787701315,0.13461538461538458,0.19977924944812364,0.18856447688564482,0.16740740740740745,0.1312684365781711
comfortable,0.22350674373795765,0.12790697674418605,0.11001964636542239,0.09881422924901184,0.14130434782608692,0.12840466926070038,0.1942544459644323,0.0,0.08687258687258692,0.10495049504950493,0.13853503184713378,0.13996316758747696,0.11478599221789887,0.09848484848484851,0.14604810996563578,0.13525835866261393,0.19404418828049952,0.1561996779388084,0.1970884658454647,0.13751668891855806,0.12367491166077738,0.17142857142857137,0.11363636363636365,0.12698412698412698,0.14128728414442704,0.1785714285714286,0.10139165009940354,0.1607142857142857,0.15488721804511274,0.16959999999999997,0.09633911368015413,0.1089494163424124,0.1134615384615385,0.13012477718360071,0.08966861598440545,0.16468590831918506,0.1586314152410575,0.10090090090090087,0.22635889798957554,0.18237704918032782,0.10058027079303677,0.14814814814814814,0.21225983531564496,0.13249211356466872,0.12357414448669202,0.15706806282722519,0.1937984496124031,0.181422351233672,0.1617100371747212,0.14177693761814747
definitely,0.06783369803063455,0.07940446650124067,0.08571428571428574,0.06788511749347259,0.09772727272727277,0.07178217821782173,0.10670731707317072,0.08687258687258692,0.0,0.0759162303664922,0.08396946564885499,0.07272727272727275,0.07848101265822782,0.07980049875311723,0.10169491525423724,0.11317254174397029,0.11608961303462317,0.09807692307692306,0.10817307692307687,0.11198738170347,0.08185840707964598,0.1172022684310019,0.07560975609756093,0.1106094808126411,0.1026615969581749,0.09859154929577463,0.09408602150537637,0.09515570934256057,0.11091234347048295,0.11238095238095236,0.06565656565656564,0.09020618556701032,0.07196029776674939,0.09438202247191008,0.07012987012987015,0.09999999999999998,0.174852652259332,0.0866510538641686,0.1278195488721805,0.11640798226164084,0.06030150753768848,0.08735632183908049,0.12083729781160801,0.10444874274661509,0.10999999999999999,0.08631578947368423,0.12608695652173918,0.11538461538461542,0.0717488789237668,0.09069212410501193
delivered,0.152744630071599,0.08585858585858586,0.10427807486631013,0.12222222222222223,0.1435406698564593,0.11458333333333337,0.11956521739130432,0.10495049504950493,0.0759162303664922,0.0,0.16322314049586772,0.13075060532687655,0.1226666666666667,0.07537688442211055,0.1004273504273504,0.12689393939393945,0.1643543223052295,0.08846153846153848,0.15056461731493098,0.10410094637223977,0.10250569476082005,0.10566037735849054,0.09547738693467334,0.12211981566820274,0.10789980732177262,0.12008281573498969,0.07486631016042777,0.18045112781954886,0.12,0.08834586466165417,0.11497326203208558,0.1611111111111111,0.09768637532133673,0.1004566210045662,0.11202185792349728,0.09876543209876543,0.08807339449541285,0.1007194244604317,0.1368821292775665,0.13476783691959227,0.11796246648793562,0.08837209302325577,0.12141491395793502,0.10331384015594547,0.11704834605597969,0.0849256900212314,0.17682926829268297,0.13356164383561642,0.1480582524271845,0.14720812182741116
