hotel name,hotel ID,review ID,review URL,customer review date,customer review year,userID,customer review score,customer review Title,customer review text,hotel reply yes or no,hotel reply text,hotel reply date,customer review text all,label_air,label_facilities,label_food,label_hygiene,label_infoSeeking,label_location,label_price,label_room,label_service,label_wifi,,
Concerto Inn,d1737218,r794571232,https://www.tripadvisor.com/ShowUserReviews-g294217-d1737218-r794571232-Concerto_Inn-Hong_Kong.html,"Reviewed June 28, 2021 ",2021,16CCCD8E63D47A665B9DFA2ED0A8A7C9,1,THIS is $800/night?!?!?,"I was exceptionally disappointed with this place. The room was VERY small, too small for even two people.  There was no phone in the room in case you needed to talk to the front desk.  The toilet is IN the shower, the area just outside the shower with the sink floods because no drainage, and the shower leaked badly. There wasn’t even any instant coffee/tea, breakfast was EXTRA cost. The drawers did not close. If the noisy dehumidifier wasn’t running 24 hrs the room turned into a slippery hazard! There was a mosquito killing machine that did NOTHING, lots of mosquitoes in the room. The room itself showed TOO MANY examples of less than adequate build quality. (Like holes cut by what look like 6 year olds to make space for bathroom pipes.) For the amount of money we paid, we expected more than just being close to the beach. To say that the accommodations were basic are a HUGE understatement. For over US$100/night, NOT WORTH IT!I can go on to talk about the terrible food as well, but at this point I think you can figure that out.",0,,,"this is $800/night?!?!? i was exceptionally disappointed with this place. the room was very small, too small for even two people.  there was no phone in the room in case you needed to talk to the front desk.  the toilet is in the shower, the area just outside the shower with the sink floods because no drainage, and the shower leaked badly. there wasn’t even any instant coffee/tea, breakfast was extra cost. the drawers did not close. if the noisy dehumidifier wasn’t running 24 hrs the room turned into a slippery hazard! there was a mosquito killing machine that did nothing, lots of mosquitoes in the room. the room itself showed too many examples of less than adequate build quality. (like holes cut by what look like 6 year olds to make space for bathroom pipes.) for the amount of money we paid, we expected more than just being close to the beach. to say that the accommodations were basic are a huge understatement. for over us$100/night, not worth it!i can go on to talk about the terrible food as well, but at this point i think you can figure that out.",0,0,1,0,1,0,1,1,0,0,,
Concerto Inn,d1737218,r786212020,https://www.tripadvisor.com/ShowUserReviews-g294217-d1737218-r786212020-Concerto_Inn-Hong_Kong.html,"Reviewed April 9, 2021 ",2021,11F9A453B6E1F0EAC8BDCA2B73608B15,2,Hostel type room in a great location,"The location is great, right on the beach and the bar area was excellent.  Our room was small (which we don’t mind), however we paid more for an executive room but the bed was smaller than a double bed and situated sideways against a wall in the middle of the room. It  was hard, small and uncomfortable, esp being 6ft 4.The pillows were thin and the towels were the thinnest I’ve ever seen. The room was full of unnecessary clutter and random cupboards/drawers and this made it feel even smaller. Two huge photographs on the wall made us feel like we had stepped back into 1975.The communal staircase was shabby and dirty and the AstroTurf on the landings was grubby.We just didn’t want to stay in the room any longer than we had to which was fine for one night but we definitely don’t want to stay again, and our friends who stayed with us feel the same. It’s such a shame because the facade of the building is beautiful as is the location. This hotel really needs a revamp..!!",0,,,"hostel type room in a great location the location is great, right on the beach and the bar area was excellent.  our room was small (which we don’t mind), however we paid more for an executive room but the bed was smaller than a double bed and situated sideways against a wall in the middle of the room. it  was hard, small and uncomfortable, esp being 6ft 4.the pillows were thin and the towels were the thinnest i’ve ever seen. the room was full of unnecessary clutter and random cupboards/drawers and this made it feel even smaller. two huge photographs on the wall made us feel like we had stepped back into 1975.the communal staircase was shabby and dirty and the astroturf on the landings was grubby.we just didn’t want to stay in the room any longer than we had to which was fine for one night but we definitely don’t want to stay again, and our friends who stayed with us feel the same. it’s such a shame because the facade of the building is beautiful as is the location. this hotel really needs a revamp..!!",0,0,0,1,0,1,0,1,0,0,,
Hotel Hart,d12309689,r795108992,https://www.tripadvisor.com/ShowUserReviews-g294217-d12309689-r795108992-Hotel_Hart-Hong_Kong.html,"Reviewed July 2, 2021 ",2021,9099666201879E7661A7B6F4DA389D89,3,Minimal Design Style but Service...,"The hotel has minimal design, with wooden furniture and no excessive decoration. It is quite comfortable.We checked in at 15:30. The hotel lobby was empty with no staff. Some guests’ baggage were left unattended. We waited for around 5 minutes, finally a staff came back. We requested for a room not located on the same floor as the hotel lobby. The male Front Desk staff was unfriendly and said that there was no room available except that room and claimed that we would need to wait for another 2 hours (17:30). If the hotel lobby was packed with long queue, I definitely understand. However, at that time, the lobby had no other guests. I hoped he could be more kind and eager to help guests.",0,,,"minimal design style but service... the hotel has minimal design, with wooden furniture and no excessive decoration. it is quite comfortable.we checked in at 15:30. the hotel lobby was empty with no staff. some guests’ baggage were left unattended. we waited for around 5 minutes, finally a staff came back. we requested for a room not located on the same floor as the hotel lobby. the male front desk staff was unfriendly and said that there was no room available except that room and claimed that we would need to wait for another 2 hours (17:30). if the hotel lobby was packed with long queue, i definitely understand. however, at that time, the lobby had no other guests. i hoped he could be more kind and eager to help guests.",0,0,0,0,1,1,0,1,1,0,,
Hotel Hart,d12309689,r783289143,https://www.tripadvisor.com/ShowUserReviews-g294217-d12309689-r783289143-Hotel_Hart-Hong_Kong.html,"Reviewed February 21, 2021 ",2021,13991D4A9E7147FD13C618A02D49A571,4,"Reasonable,Valuable Within TST Area","Room with bright lighting , comfortable air-con system and high water pressure showering. You can enjoy a relaxing shower in this hotel. Sound resistant between room to room is not strong enough here, you can hear clearly people in next room talking.  But overall with this price is super reasonable and valuable. Highly recommend to those who are active in  “night life”.",0,,,"reasonable,valuable within tst area room with bright lighting , comfortable air-con system and high water pressure showering. you can enjoy a relaxing shower in this hotel. sound resistant between room to room is not strong enough here, you can hear clearly people in next room talking.  but overall with this price is super reasonable and valuable. highly recommend to those who are active in  “night life”.",1,0,0,0,0,0,1,1,0,0,,
Noah's Ark Hotel & Resort,d1762000,r821825173,https://www.tripadvisor.com/ShowUserReviews-g294217-d1762000-r821825173-Noah_s_Ark_Hotel_Resort-Hong_Kong.html,"Reviewed December 12, 2021 ",2021,7BBC08B6D010EE73B1A3A40D81D16BC4,5,Birthday Breakfast @ Harvest Restaurant,"This is just a quick one for Harvest Restaurant, where me & fam had my birthday breakfast.We actually usually come for breakfast on alternate weeks, either as fam or me & wife or kids with their momFoods served are basic, full buffet, a mix of asian/western..theres fresh cut fruits, salad bar..nothing too fancy or extravagant but definitely make you full in the end. You get a nice view, overlooking Tsing Ma bridge. Lots of seats, high ceiling & spacing between tables are comfortable, especially in regards to social distancing...feel free to take a walk down the beach afterwards to burn off calories or just enjoy the waves rolling in...Depending on hotel occupancy &or time you come, the restaurant can be a nice/quiet place to have a meal.Service is efficient. Special mention to Angel (at reception) & Ching (on floor)...both are very nice & friendly each time we are there..”Ladies, thank you for always for your assistance & making us feel welcomed, like family..”Harvest is a nice place to start the morning, when you dont want to cook your own breakfast but still want to feel at home as you enjoy the most important meal of the day!",0,,,"birthday breakfast @ harvest restaurant this is just a quick one for harvest restaurant, where me & fam had my birthday breakfast.we actually usually come for breakfast on alternate weeks, either as fam or me & wife or kids with their momfoods served are basic, full buffet, a mix of asian/western..theres fresh cut fruits, salad bar..nothing too fancy or extravagant but definitely make you full in the end. you get a nice view, overlooking tsing ma bridge. lots of seats, high ceiling & spacing between tables are comfortable, especially in regards to social distancing...feel free to take a walk down the beach afterwards to burn off calories or just enjoy the waves rolling in...depending on hotel occupancy &or time you come, the restaurant can be a nice/quiet place to have a meal.service is efficient. special mention to angel (at reception) & ching (on floor)...both are very nice & friendly each time we are there..”ladies, thank you for always for your assistance & making us feel welcomed, like family..”harvest is a nice place to start the morning, when you dont want to cook your own breakfast but still want to feel at home as you enjoy the most important meal of the day!",0,0,1,0,1,1,0,1,1,0,,
Noah's Ark Hotel & Resort,d1762000,r819880973,https://www.tripadvisor.com/ShowUserReviews-g294217-d1762000-r819880973-Noah_s_Ark_Hotel_Resort-Hong_Kong.html,"Reviewed November 24, 2021 ",2021,3A1D9C5955883AF3999466DADAFC3773,5,A Fantastic Place under the Mesmerising Tsing Yi Bridge,"This place is always full in weekend as it's so popular to family guests with kids. I was lucky enough to be able to book 3 nights here during weekday and at an excellent price (HKD560@). I love the hotel and the environment, as well as Ma Wan island where this hotel is located. A beach is just next to the hotel and is peaceful, beautiful, with the Tsing Yi Bridge just above my head!The room is clean, spacious with a podium. Bed very cozy. Everything functional. Some areas require improvement:1) I hung the ""no disturb"" plate outside my door when I left. More than once, they called me and asked if I needed cleaning up. I think they don't have to call guests (a kind of disturbance to me) for confirmation when the no-disturb sign already tells2) I found 3 cockroaches    , 1 alive 2 died, next to my sliding door in the podium. I dare not stay in the podium or open my door 3) TV channels are too limited. There are some more local free channels but not available here. Transport is fine as there are ferry, buses connecting to the Ma Wan island.Restaurants are very few on the island, 4 western cuisine along the beach. There's a restaurant inside the hotel and I had breakfast everyday at a very good price HKD91 and the food is good.Service so so.",0,,,"a fantastic place under the mesmerising tsing yi bridge this place is always full in weekend as it's so popular to family guests with kids. i was lucky enough to be able to book 3 nights here during weekday and at an excellent price (hkd560@). i love the hotel and the environment, as well as ma wan island where this hotel is located. a beach is just next to the hotel and is peaceful, beautiful, with the tsing yi bridge just above my head!the room is clean, spacious with a podium. bed very cozy. everything functional. some areas require improvement:1) i hung the ""no disturb"" plate outside my door when i left. more than once, they called me and asked if i needed cleaning up. i think they don't have to call guests (a kind of disturbance to me) for confirmation when the no-disturb sign already tells2) i found 3 cockroaches    , 1 alive 2 died, next to my sliding door in the podium. i dare not stay in the podium or open my door 3) tv channels are too limited. there are some more local free channels but not available here. transport is fine as there are ferry, buses connecting to the ma wan island.restaurants are very few on the island, 4 western cuisine along the beach. there's a restaurant inside the hotel and i had breakfast everyday at a very good price hkd91 and the food is good.service so so.",0,0,1,1,1,1,1,1,1,0,,
Warwick Hotel Cheung Chau,d309419,r794000710,https://www.tripadvisor.com/ShowUserReviews-g294217-d309419-r794000710-Warwick_Hotel_Cheung_Chau-Hong_Kong.html,"Reviewed June 25, 2021 ",2021,5B707A688F7C48D0FFFA775D86D00E93,5,10th Year Wedding Anniversary !,"This is an unforgettable staycation with all good experienced. Thanking you so very much for the excellent hospitality service special mention to hotel front office manager MR.  NELSON without all his flexibility things would run differently. (*) Location is perfect for family or couple get away from the city. (*) This time we celebrate our 10th year wedding anniversary and we had just more than enough to expect from the staff,room,& view! (*) Our kids really having so much fun at the front beach (*) We enjoy from the first hour of our stay till the last seconds. In addition we had a surprised arrangement from the management a tasteful anniversary cake and a late check out was given to our second room. Very very good experienced our family are so grateful!  (*) Definitely will recommend to all the trip advisor readers MUST TRY & EXPERIENCE #warwickhotel#cheungchauonlyhotel",0,,,"10th year wedding anniversary ! this is an unforgettable staycation with all good experienced. thanking you so very much for the excellent hospitality service special mention to hotel front office manager mr.  nelson without all his flexibility things would run differently. (*) location is perfect for family or couple get away from the city. (*) this time we celebrate our 10th year wedding anniversary and we had just more than enough to expect from the staff,room,& view! (*) our kids really having so much fun at the front beach (*) we enjoy from the first hour of our stay till the last seconds. in addition we had a surprised arrangement from the management a tasteful anniversary cake and a late check out was given to our second room. very very good experienced our family are so grateful!  (*) definitely will recommend to all the trip advisor readers must try & experience #warwickhotel#cheungchauonlyhotel",0,0,1,0,0,1,0,1,1,0,,
The Emperor Hotel,d13215104,r795096729,https://www.tripadvisor.com/ShowUserReviews-g294217-d13215104-r795096729-The_Emperor_Hotel-Hong_Kong.html,"Reviewed July 2, 2021 ",2021,E2C22B226D47E0541EA9CA3183FC4D4F,5,Nice hotel with excellent service,"We booked online and all of our booking concerns and enquirers were politely and patiently answered by Nancy of Front Desk over the phone. On the day we have arrived the hotel, we were assisted by her quickly and efficiently for checking in. We finally got a nice room with a large bed on the high floor that was being upgraded by Nancy. The room was spacious , clean with comfortable bed. Over all was pretty good and value for money. It was really a nice place to stay and definitely would stay again for this reasonable price with excellent service provided by Nancy.",1,"dear kent,we are grad to hear about nancy's service has made your stay so enjoy. your positive comments are encouraging. we appreciate it very much. look forward to welcoming you back in the near future.","Responded July 14, 2021","nice hotel with excellent service we booked online and all of our booking concerns and enquirers were politely and patiently answered by nancy of front desk over the phone. on the day we have arrived the hotel, we were assisted by her quickly and efficiently for checking in. we finally got a nice room with a large bed on the high floor that was being upgraded by nancy. the room was spacious , clean with comfortable bed. over all was pretty good and value for money. it was really a nice place to stay and definitely would stay again for this reasonable price with excellent service provided by nancy.",0,0,0,1,1,0,1,1,1,0,,
The Emperor Hotel,d13215104,r791958284,https://www.tripadvisor.com/ShowUserReviews-g294217-d13215104-r791958284-The_Emperor_Hotel-Hong_Kong.html,"Reviewed June 10, 2021 ",2021,104F24CAAD9FF52EA4C3D24EE64F2E2E,5,A great trip experience～,"A great trip experience～I stayed at the hotel on 5-6 June.My friend and I got back to the hotel after 10:30 pm. I realised that I forgot to bring the charger with me. I went down to the front desk to see if I could borrow a charger for my phone. Unfortunately the chargers were not available at that time of night. Sadly I went back to my room. After a short while, I received a call from the front desk saying that they could lend me a charger. I was so surprised and asked how could they get one for me? I was told that the reception manager(Ms. Leung) , lend her own charger to me.I was very grateful for her, she not only saved my battery, she actually saved my night!We had such a great day in the hotel. I will definitely stay in this hotel again.",1,"dear julianna,thank you very much for spending time to give us a positive feedback. we are grad that you enjoyed your stay with us. look forward to welcoming you back in the near future.","Responded July 14, 2021","a great trip experience～ a great trip experience～i stayed at the hotel on 5-6 june.my friend and i got back to the hotel after 10:30 pm. i realised that i forgot to bring the charger with me. i went down to the front desk to see if i could borrow a charger for my phone. unfortunately the chargers were not available at that time of night. sadly i went back to my room. after a short while, i received a call from the front desk saying that they could lend me a charger. i was so surprised and asked how could they get one for me? i was told that the reception manager(ms. leung) , lend her own charger to me.i was very grateful for her, she not only saved my battery, she actually saved my night!we had such a great day in the hotel. i will definitely stay in this hotel again.",0,0,0,0,1,0,1,0,1,0,,
The Emperor Hotel,d13215104,r791428766,https://www.tripadvisor.com/ShowUserReviews-g294217-d13215104-r791428766-The_Emperor_Hotel-Hong_Kong.html,"Reviewed June 6, 2021 ",2021,DC7A22DA66EE63D5142CC20A8897AC9A,1,Front desk Nancy ruined our holiday,"During our stay, we encountered an unsatisfactory service levels that I think you should know of and hopefully do something about. A front desk staff named Nancy check us in and her attitude was bad. She give us a room confirmation paper with only the correct guest name, all other information were wrong. Well, that’s not a problem as I understand they were so busy. However, the wrong confirmation letter stated that we booked twin bed room instead of the a large bed room. Nancy not willing to admit her fault that she found us a wrong confirmation paper while all of the information inside were wrong obviously and said that she can provide us with double bed room for special, no more high floor as she only do according to what confirmation letter stated. Of course she’s not saying the above sentence in a good attitude for sure. Finally, she put us into a low floor and just opposite to a elevator. I’m not sure it’s coincidence or Nancy did it on purpose. It make me feel so bad during my whole trip.I wonder why I’m coming for staycation, but seems like I’m coming for being insulted. Actually, with a cheap price and the room is not too bad. But with the bad service from Nancy and ruined my holiday, it make me so hard to return again and recommend to others.I hope you agree with me that this type of service is completely unacceptable at so many levels. It is not the kind of treatment I would have expected from a normal hotel. I am very disappointed from this bitter experience. I would like to hear your thoughts about my complaint and the steps that you are willing to take to prevent such incidents in the future.",1,"dear guest,thank you for your time to share with us. a separate email will be sent to you. we sincerely apologize for all inconvenience caused.  best regards,front office manager","Responded June 7, 2021","front desk nancy ruined our holiday during our stay, we encountered an unsatisfactory service levels that i think you should know of and hopefully do something about. a front desk staff named nancy check us in and her attitude was bad. she give us a room confirmation paper with only the correct guest name, all other information were wrong. well, that’s not a problem as i understand they were so busy. however, the wrong confirmation letter stated that we booked twin bed room instead of the a large bed room. nancy not willing to admit her fault that she found us a wrong confirmation paper while all of the information inside were wrong obviously and said that she can provide us with double bed room for special, no more high floor as she only do according to what confirmation letter stated. of course she’s not saying the above sentence in a good attitude for sure. finally, she put us into a low floor and just opposite to a elevator. i’m not sure it’s coincidence or nancy did it on purpose. it make me feel so bad during my whole trip.i wonder why i’m coming for staycation, but seems like i’m coming for being insulted. actually, with a cheap price and the room is not too bad. but with the bad service from nancy and ruined my holiday, it make me so hard to return again and recommend to others.i hope you agree with me that this type of service is completely unacceptable at so many levels. it is not the kind of treatment i would have expected from a normal hotel. i am very disappointed from this bitter experience. i would like to hear your thoughts about my complaint and the steps that you are willing to take to prevent such incidents in the future.",0,0,1,0,1,0,1,1,1,0,,
