hotel name,hotel ID,review ID,review URL,customer review date,customer review year,userID,customer review score,customer review Title,customer review text,hotel reply yes or no,hotel reply text,hotel reply date,customer review text all,label_air,label_facilities,label_food,label_hygiene,label_infoSeeking,label_location,label_price,label_room,label_service,label_wifi,,
Metropark Hotel Mongkok,d305806,r778035602,https://www.tripadvisor.com/ShowUserReviews-g294217-d305806-r778035602-Metropark_Hotel_Mongkok-Hong_Kong.html,"Reviewed November 27, 2020 ",2020,737E862D58746EA439A4A8D8886E5FD9,5,Quarantine experience,"Room was nice and spacious, made the quarantine experience a lot of easier. Staff was generally professional and responsive. Wifi was at times unstable but overall the experience was alright. It would have been better if the quarantine package information was more readily available online.",1,"dear j3116dsjennifera, thank you for recent stay at metropark hotel mongkok and sharing your experience with us. we are very glad to hear that you are satisfied with the stay at our hotel. your valuable comment and suggestion were important to us for the improvement of customer services and the quality. we will keep providing the qualified product and service.  thank you for choosing metropark hotel mongkok and we look forward to welcoming you again in the future.","Responded November 28, 2020","quarantine experience room was nice and spacious, made the quarantine experience a lot of easier. staff was generally professional and responsive. wifi was at times unstable but overall the experience was alright. it would have been better if the quarantine package information was more readily available online.",0,0,0,0,1,0,0,1,1,1,,
Panda Hotel,d305877,r779767653,https://www.tripadvisor.com/ShowUserReviews-g294217-d305877-r779767653-Panda_Hotel-Hong_Kong.html,"Reviewed December 22, 2020 ",2020,C24123EE63844B170A633F76A134A144,5,Great place to quarantine in Hong Kong,"I had to quarantine in Hong Kong for 14 daysI chose Panda HotelFor a very reasonable price I could enjoy a suite , high floor, mountain viewLarge and comfy bedbedImmaculate, practical bathroomVery copious breakfast, can keep you going until late afternoonRoom was equipped with yoga mat and dumbbells, unlimited supply of drinking water, coffee, nespresso capsules, tea..Unfortunately no outside food is allowed and you can only order fixed menu (Western or Chinese)",1,"dear vidal m,thank you for taking the time to post a review. we are very pleased to hear that everything during your stay was taken care of. we hope your next visit will be even more enjoyable than the previous one!regards,the management","Responded December 22, 2020","great place to quarantine in hong kong i had to quarantine in hong kong for 14 daysi chose panda hotelfor a very reasonable price i could enjoy a suite , high floor, mountain viewlarge and comfy bedbedimmaculate, practical bathroomvery copious breakfast, can keep you going until late afternoonroom was equipped with yoga mat and dumbbells, unlimited supply of drinking water, coffee, nespresso capsules, tea..unfortunately no outside food is allowed and you can only order fixed menu (western or chinese)",0,1,1,0,1,0,1,1,0,0,,
Regal Hongkong Hotel,d302174,r806633861,https://www.tripadvisor.com/ShowUserReviews-g294217-d302174-r806633861-Regal_Hongkong_Hotel-Hong_Kong.html,"Reviewed August 27, 2021 ",2021,641E0AE27A7F6DFCDF3CC5FD8DB8A5C4,1,"If you are looking for place to quarantine, STAY AWAY!!!!","I am here for quarantine, whenever i ordered takeaway or getting someone to deliver grocery. It took at least an hour to deliver the food, which made it cold. Also, we I called the front desk, they immediately brought it up with unacceptable manner ( banging on doors and shouting)",0,,,"if you are looking for place to quarantine, stay away!!!! i am here for quarantine, whenever i ordered takeaway or getting someone to deliver grocery. it took at least an hour to deliver the food, which made it cold. also, we i called the front desk, they immediately brought it up with unacceptable manner ( banging on doors and shouting)",0,0,1,0,1,0,0,1,0,0,,
Yesinn Hostel @YMT,d1201198,r769912093,https://www.tripadvisor.com/ShowUserReviews-g294217-d1201198-r769912093-Yesinn_Hostel_YMT-Hong_Kong.html,"Reviewed September 11, 2020 ",2020,2D38E2C84944E16646A1014564D2C5AA,4,Quarantine in Yesinn,"I spent 14 day quarantine in Yesinn hostel @YMT, so my review might not be very informative. The stuff here is very nice, ... always brought me food to my door (As I am not able to leave the room) helped me with all my problems. The room itself is okay but for me it was very small. I wouldn’t mind spending quarantine here again.",1,hithank you very much for your review. i would like to thank you for choosing our hostel. we are glad that you have enjoyed your stay with us. we aim to provide our guest a comfortable stay during a 14 days quarantine.  our reception team here is thrilled to hear such good feedback.looking forward to welcoming you again soon. hopefully next time you can stay here to enjoy our facility fully.  yesinn hostel@ymt,"Responded September 13, 2020","quarantine in yesinn i spent 14 day quarantine in yesinn hostel @ymt, so my review might not be very informative. the stuff here is very nice, ... always brought me food to my door (as i am not able to leave the room) helped me with all my problems. the room itself is okay but for me it was very small. i wouldn’t mind spending quarantine here again.",0,0,1,0,1,0,0,1,1,0,,
CHI Residences 314,d1590252,r767245341,https://www.tripadvisor.com/ShowUserReviews-g294217-d1590252-r767245341-CHI_Residences_314-Hong_Kong.html,"Reviewed August 27, 2020 ",2020,1709BF0730FE27F32791F9F424E7EC21,5,GREAT QUARANTINE AND WONDERFUL STAFF!,"I thoroughly enjoyed my stay at CHI 314. Everyone was kind from the moment I arrived till I left. There was ample amount of space for myself. everything was clean, bright space, and Great wifi. Having a kitchen was great for cooking my own meals and they had all the appliances I needed. I’m so glad I stayed here for my quarantine.",1,thank you for your positive comments. we are so glad to hear that you enjoyed your stay with us! i’m sure our entire staff enjoyed catering to your needs as much as you enjoyed your stay. nothing pleases us more than hearing your compliments about our  facilities and services. we will share your words with our entire team. do checkout our facebook page for promos that you might be interested in. we are looking forward to seeing you again soon. thank you again.,"Responded August 31, 2020","great quarantine and wonderful staff! i thoroughly enjoyed my stay at chi 314. everyone was kind from the moment i arrived till i left. there was ample amount of space for myself. everything was clean, bright space, and great wifi. having a kitchen was great for cooking my own meals and they had all the appliances i needed. i’m so glad i stayed here for my quarantine.",0,0,1,1,0,0,0,1,1,1,,
The Otto Hotel,d13390993,r757904470,https://www.tripadvisor.com/ShowUserReviews-g294217-d13390993-r757904470-The_Otto_Hotel-Hong_Kong.html,"Reviewed June 21, 2020 ",2020,D9F4FC1B0C6BCBD989DFBA02A33DCC26,5,"VERY CLEAN AND SPOTLESS, FRIENDLY STAFF, GREAT LOCATION, REASONABLY PRICE!!","This hotel located in heart of TST (Tsim Sha Tsui) so I decided to book this hotel because it convenient for me travel especially you have subway just outside hotel and loads of taxi go pass the hotel not even that there a airport express bus just literally 5mins walk from the hotel.Once I arrived in Hong Kong on 30th June after staying at Dorsett Hotel in Tsuen Wan for 14 days quarantine it's the worst hotel to stay so after the quarantine I decided not to stay there lucky I have plan this way back to stay in another hotel after quarantine since February.Once I arrived to this hotel I greetings by security officer/ which they are really helpful and friendly helping you take to the lift and hotel lift and press the floor you need to for the receptionArriving at the reception greeting from the reception staff they are friendly and helpful and I was too early to check-in so they let me check-in and they also see if the room is ready and the room was ready so they told me to leave your luggage at reception and come back an hour time your room should be ready so I come back an hour time and the room is ready and also they told me we have upgraded your room.So I went to the room and check it out. I mean it's small but the hotel is lovely and room is fantastic and stylish but most important is the room is very clean to be honest you just need a room to sleep unless you going to stay in the room all day lol and it's reasonable price.There is mini fridge which is free I think it one time according to the reception because there no pricelist of the drink in the mini fridge.l but the cleaner top it up everyday when cleaning the room. I haven't take any drink after they top up the fridge. If you have taken any drink after they top up the fridge let me know lol.The only thing is there no hdmi input or google casting also the cable TV is not HD only the local channel is HD. Overall the stay is so perfect because the hotel is near to all local restaurant, shopping district and bars.I would like to say thank you all the staff.I would love to come back and stay here and that I will be definitely for the price I pay for and definitely recommend friends and family to stay this amazing hotel.",1,"dear kbtang88,thank you for staying at the otto hotel and sharing your valuable comments with us. we are glad to learn that you do very much enjoy your stay. your compliments are truly appreciated, and we look forward to the opportunity of welcoming you back again in the not-too-distant future.anthea kwok | assistant reservations and administration manager","Responded July 2, 2020","very clean and spotless, friendly staff, great location, reasonably price!! this hotel located in heart of tst (tsim sha tsui) so i decided to book this hotel because it convenient for me travel especially you have subway just outside hotel and loads of taxi go pass the hotel not even that there a airport express bus just literally 5mins walk from the hotel.once i arrived in hong kong on 30th june after staying at dorsett hotel in tsuen wan for 14 days quarantine it's the worst hotel to stay so after the quarantine i decided not to stay there lucky i have plan this way back to stay in another hotel after quarantine since february.once i arrived to this hotel i greetings by security officer/ which they are really helpful and friendly helping you take to the lift and hotel lift and press the floor you need to for the receptionarriving at the reception greeting from the reception staff they are friendly and helpful and i was too early to check-in so they let me check-in and they also see if the room is ready and the room was ready so they told me to leave your luggage at reception and come back an hour time your room should be ready so i come back an hour time and the room is ready and also they told me we have upgraded your room.so i went to the room and check it out. i mean it's small but the hotel is lovely and room is fantastic and stylish but most important is the room is very clean to be honest you just need a room to sleep unless you going to stay in the room all day lol and it's reasonable price.there is mini fridge which is free i think it one time according to the reception because there no pricelist of the drink in the mini fridge.l but the cleaner top it up everyday when cleaning the room. i haven't take any drink after they top up the fridge. if you have taken any drink after they top up the fridge let me know lol.the only thing is there no hdmi input or google casting also the cable tv is not hd only the local channel is hd. overall the stay is so perfect because the hotel is near to all local restaurant, shopping district and bars.i would like to say thank you all the staff.i would love to come back and stay here and that i will be definitely for the price i pay for and definitely recommend friends and family to stay this amazing hotel.",0,0,1,1,0,1,1,1,1,0,,
Vela Boutique Hotel,d2215912,r817899759,https://www.tripadvisor.com/ShowUserReviews-g294217-d2215912-r817899759-Vela_Boutique_Hotel-Hong_Kong.html,"Reviewed November 8, 2021 ",2021,4434123DBA4F014996EF27B0274E7F4C,2,Poor quality,"We stayed at the Vela Boutique Hotel for our 21-day quarantine. This hotel was truly terrible. The meals were alright (very local) but the variety was terrible – think noodles for literally every meal. I saw pictures of meals from other quarantine hotels and I was heartbroken when I saw that other people were getting fruit and even extras like welcome care packages. One day, we got sandwiches for lunch – that was the highlight! Besides this, the rooms are very small and very poorly ventilated, and it was clear that no one bothered dusting after the person before us left. They gave us one towel each for 21 days and seemed annoyed when we asked for more to be delivered. I see they're not on the list of quarantine hotels anymore – thank goodness – but even if they were a ""normal hotel,"" I wouldn't stay there and I wouldn't recommend anyone else to.",0,,,"poor quality we stayed at the vela boutique hotel for our 21-day quarantine. this hotel was truly terrible. the meals were alright (very local) but the variety was terrible – think noodles for literally every meal. i saw pictures of meals from other quarantine hotels and i was heartbroken when i saw that other people were getting fruit and even extras like welcome care packages. one day, we got sandwiches for lunch – that was the highlight! besides this, the rooms are very small and very poorly ventilated, and it was clear that no one bothered dusting after the person before us left. they gave us one towel each for 21 days and seemed annoyed when we asked for more to be delivered. i see they're not on the list of quarantine hotels anymore – thank goodness – but even if they were a ""normal hotel,"" i wouldn't stay there and i wouldn't recommend anyone else to.",0,0,1,0,1,1,0,1,0,0,,
Shanghai Hostel HK,d6509948,r821099930,https://www.tripadvisor.com/ShowUserReviews-g294217-d6509948-r821099930-Shanghai_Hostel_HK-Hong_Kong.html,"Reviewed December 5, 2021 ",2021,CCEF5B18599190DC9976CAECB3D561AE,1,Poor customer service,"I booked a room for a week. I booked them before the new measurements to access Hong Kong; measurements due to the Omicron Variant. After the new measurements, because of the quarantine procedure, I was required to spend an additional week in the quarantine hotel (which is not this one). That notice disrupted the booking dates of my following up bookings, meaning for me to adapt my booking dates one week. Other bookings I had didn't have any inconvenience to adapt my necessity as a customer to their service. No, these people just justify their negative with their ""we don't give blablabla""talk, yeah sure you may are not be required to give anything. Yet, you show poor service to your customer. I tell you as a fellow traveler, knowing that a hotel can't guaranty this type of action, is very inconvenient at pandemic times where uncertainty is at the door. Also, there are competitors for similar prices.",0,,,"poor customer service i booked a room for a week. i booked them before the new measurements to access hong kong; measurements due to the omicron variant. after the new measurements, because of the quarantine procedure, i was required to spend an additional week in the quarantine hotel (which is not this one). that notice disrupted the booking dates of my following up bookings, meaning for me to adapt my booking dates one week. other bookings i had didn't have any inconvenience to adapt my necessity as a customer to their service. no, these people just justify their negative with their ""we don't give blablabla""talk, yeah sure you may are not be required to give anything. yet, you show poor service to your customer. i tell you as a fellow traveler, knowing that a hotel can't guaranty this type of action, is very inconvenient at pandemic times where uncertainty is at the door. also, there are competitors for similar prices.",0,0,0,0,0,0,1,0,1,0,,
"The Langham, Hong Kong",d304490,r786887561,https://www.tripadvisor.com/ShowUserReviews-g294217-d304490-r786887561-The_Langham_Hong_Kong-Hong_Kong.html,"Reviewed April 20, 2021 ",2021,5BA6790AF90627C34345F36464B67BF9,5,Hospitality in its pure form!,"We just came out of quarantine of 3 weeks and treated ourselves for this iconic hotel. And a treat is was indeed, nothing and nobody let us down. From the moment we get out of the car, we were only greeted and spoken to by friendly people with sincere smiles. Doors were opened by staf what for me still is a highly appreciated gesture. all procedures were fast, efficient and clean. Big compliments to the concierge team as they were able to answer all our inquiries and made some great suggestions for us. As we stayed only 1 night, we were unfortunately not able to have any dinner, but the quick bite from the in room dining was spot on, super delicious and the service was awesome with my son of 4 years. Breakfast was more than sufficient for me, clean and neat presented fresh food. I would really like to comment to all the visible and invisible staff, everyone gave us the feeling of natural hospitality, no rush and no forced smiles, people were happy to help or serve us.Will definitely come back here in the future!",1,"thank you very much for sharing your experiences with us.  we are delighted to learn that your stay with us was enjoyable and refreshing after the quarantine. comfort, relaxation and enjoyment are our pledge for service for our guests. we sincerely look forward to welcome you back for another lovely stay.   it would be my pleasure to personally follow up on your next reservation for the langham hong kong.with kind regardsagnes chanhotel manageragnes.chan@langhamhotels.com  ","Responded April 22, 2021","hospitality in its pure form! we just came out of quarantine of 3 weeks and treated ourselves for this iconic hotel. and a treat is was indeed, nothing and nobody let us down. from the moment we get out of the car, we were only greeted and spoken to by friendly people with sincere smiles. doors were opened by staf what for me still is a highly appreciated gesture. all procedures were fast, efficient and clean. big compliments to the concierge team as they were able to answer all our inquiries and made some great suggestions for us. as we stayed only 1 night, we were unfortunately not able to have any dinner, but the quick bite from the in room dining was spot on, super delicious and the service was awesome with my son of 4 years. breakfast was more than sufficient for me, clean and neat presented fresh food. i would really like to comment to all the visible and invisible staff, everyone gave us the feeling of natural hospitality, no rush and no forced smiles, people were happy to help or serve us.will definitely come back here in the future!",0,0,1,1,1,0,0,0,1,0,,
Royal Plaza Hotel,d305909,r780786151,https://www.tripadvisor.com/ShowUserReviews-g294217-d305909-r780786151-Royal_Plaza_Hotel-Hong_Kong.html,"Reviewed January 8, 2021 ",2021,025B6C7AB9A7FE747BAEFE1FBB768276,5,Excellent location & friendly staff,"I stayed in Royal Plaza for 1 week last year to see my family just before the compulsory quarantine was required. The hotel location is very good, it literary connected to a shopping mall and has easy access with public transport.  Truly appreciate the friendliness of the front desk staff for efficient and smooth check-in/out process.The room and bathroom is being quite spacious compare to other local hotel in Hong Kong.   Only has one problem during the stay was the room next door was still watching TV with quite loud volume in the middle of night which disturbed our sleep. The problem solved after we report to the hotel. Thank you to the Duty Manager who handle our complaint and act promptly.  Definitely recommended.   Could not wait to stay here again when the epidemic outbreak ceased.  ",1,"dear nikkistic,thank you very much for taking the time to write such positive comments about royal plaza hotel. we are delighted to know you enjoyed your time with us and had a memorable holiday in hong kong. we look forward to welcoming you back to royal plaza hotel very soon.yours sincerelywilliam chanhotel manager","Responded January 8, 2021","excellent location & friendly staff i stayed in royal plaza for 1 week last year to see my family just before the compulsory quarantine was required. the hotel location is very good, it literary connected to a shopping mall and has easy access with public transport.  truly appreciate the friendliness of the front desk staff for efficient and smooth check-in/out process.the room and bathroom is being quite spacious compare to other local hotel in hong kong.   only has one problem during the stay was the room next door was still watching tv with quite loud volume in the middle of night which disturbed our sleep. the problem solved after we report to the hotel. thank you to the duty manager who handle our complaint and act promptly.  definitely recommended.   could not wait to stay here again when the epidemic outbreak ceased.  ",0,0,0,0,1,1,0,1,1,0,,
