,hotel ID,review ID,review URL,customer review Title,customer review date,customer review score,userID,customer review text,hotel reply yes or no,hotel reply text,hotel reply date
0,d305806,r778035602,https://www.tripadvisor.com/ShowUserReviews-g294217-d305806-r778035602-Metropark_Hotel_Mongkok-Hong_Kong.html,Quarantine experience,"Reviewed November 27, 2020 ",bubble_50,737E862D58746EA439A4A8D8886E5FD9,"Room was nice and spacious, made the quarantine experience a lot of easier. Staff was generally professional and responsive. Wifi was at times unstable but overall the experience was alright. It would have been better if the quarantine package information was more readily available online.",1,"Dear J3116DSjennifera, Thank you for recent stay at Metropark Hotel Mongkok and sharing your experience with us. We are very glad to hear that you are satisfied with the stay at our hotel. Your valuable comment and suggestion were important to us for the improvement of customer services and the quality. We will keep providing the qualified product and service.  Thank you for choosing Metropark Hotel Mongkok and we look forward to welcoming you again in the future.","Responded November 28, 2020"
1,d305877,r779767653,https://www.tripadvisor.com/ShowUserReviews-g294217-d305877-r779767653-Panda_Hotel-Hong_Kong.html,Great place to quarantine in Hong Kong,"Reviewed December 22, 2020 ",bubble_50,C24123EE63844B170A633F76A134A144,"I had to quarantine in Hong Kong for 14 daysI chose Panda HotelFor a very reasonable price I could enjoy a suite , high floor, mountain viewLarge and comfy bedbedImmaculate, practical bathroomVery copious breakfast, can keep you going until late afternoonRoom was equipped with yoga mat and dumbbells, unlimited supply of drinking water, coffee, nespresso capsules, tea..Unfortunately no outside food is allowed and you can only order fixed menu (Western or Chinese)",1,"Dear Vidal M,Thank you for taking the time to post a review. We are very pleased to hear that everything during your stay was taken care of. We hope your next visit will be even more enjoyable than the previous one!Regards,The Management","Responded December 22, 2020"
2,d302174,r806633861,https://www.tripadvisor.com/ShowUserReviews-g294217-d302174-r806633861-Regal_Hongkong_Hotel-Hong_Kong.html,"If you are looking for place to quarantine, STAY AWAY!!!!","Reviewed August 27, 2021 ",bubble_10,641E0AE27A7F6DFCDF3CC5FD8DB8A5C4,"I am here for quarantine, whenever i ordered takeaway or getting someone to deliver grocery. It took at least an hour to deliver the food, which made it cold. Also, we I called the front desk, they immediately brought it up with unacceptable manner ( banging on doors and shouting)",0,NaN,NaN
3,d1201198,r769912093,https://www.tripadvisor.com/ShowUserReviews-g294217-d1201198-r769912093-Yesinn_Hostel_YMT-Hong_Kong.html,Quarantine in Yesinn,"Reviewed September 11, 2020 ",bubble_40,2D38E2C84944E16646A1014564D2C5AA,"I spent 14 day quarantine in Yesinn hostel @YMT, so my review might not be very informative. The stuff here is very nice, ... always brought me food to my door (As I am not able to leave the room) helped me with all my problems. The room itself is okay but for me it was very small. I wouldn’t mind spending quarantine here again.",1,HiThank you very much for your review. I would like to thank you for choosing our hostel. We are glad that you have enjoyed your stay with us. We aim to provide our guest a comfortable stay during a 14 days quarantine.  Our reception team here is thrilled to hear such good feedback.Looking forward to welcoming you again soon. Hopefully next time you can stay here to enjoy our facility fully.  Yesinn Hostel@YMT,"Responded September 13, 2020"
4,d16667304,r830471289,https://www.tripadvisor.com/ShowUserReviews-g294217-d16667304-r830471289-Iclub_Mong_Kok_Hotel-Hong_Kong.html,review under quarantine stay,Reviewed 2 weeks ago ,bubble_40,9FAEBBFE0B4FF3EADA8DD65507464A24,"As this stay are traveling quarantine stay for 14 days, can't enjoy any of the service of the hotel. But during check-in to check-out, service is good. Food quality is fine and deliver quite on time. Overall- Good.",1,"Dear hkcw517,Thank you for taking your time to share your feedback of your quarantine experience with us. We are glad to learn you enjoy our guest room design, meals and  our staff and service. Until 1930, the area was called Mong Kok Tsui, The current English name is a transliteration of its older Chinese name, which is named for its plentiful supply of ferns in the past when it was a coastal region. Its present Chinese name ""旺角"" means ""prosperous corner"" or ""crowded corner."" Once again, we appreciate your feedback that will definitely make us better. We sincerely look forward to welcoming you again in the near future. Thank you and best regard, Elgene Lee (Mr.) General Manager ",Responded 2 weeks ago
5,d21392262,r824987714,https://www.tripadvisor.com/ShowUserReviews-g294217-d21392262-r824987714-Hong_Kong_Grand_City_Hotel-Hong_Kong.html,Horrible Quarantine Stay,"Reviewed January 15, 2022 ",bubble_10,EC785A51934649F4A2B558140E59A60E,"About 10sqm room with bolted windows so the fresh air doesn't contaminate me. The cultural program runs on 12 national channels. Internet speed is reminiscent of the beginnings of the Internet with 56k.... (if the WiFi ever works)Quarantine food is perfect if you like the same sauce or dry rice for 14 days, so souvenirs are highly recommended! Vegans are starving here. How do you eat the food shown with a plastic spoon and plastic fork? Yes, with your fingers, no one can see... A cup or glass, metal cutlery would be an enrichment of comfort.Likewise, an additional pair of towels, possibly also bed linen, would contribute to hygiene. I have never created so much plastic waste in my life.Not everyone has a sink in the hallway, wallpaper from the 50s... just sporadically.Surely there are worse places to stay. However, was a new experience in Hong Kong.A plus for the doctors who toil in the corridors and test people.",0,NaN,NaN
6,d1590252,r767245341,https://www.tripadvisor.com/ShowUserReviews-g294217-d1590252-r767245341-CHI_Residences_314-Hong_Kong.html,GREAT QUARANTINE AND WONDERFUL STAFF!,"Reviewed August 27, 2020 ",bubble_50,1709BF0730FE27F32791F9F424E7EC21,"I thoroughly enjoyed my stay at CHI 314. Everyone was kind from the moment I arrived till I left. There was ample amount of space for myself. everything was clean, bright space, and Great wifi. Having a kitchen was great for cooking my own meals and they had all the appliances I needed. I’m so glad I stayed here for my quarantine.",1,Thank you for your positive comments. We are so glad to hear that you enjoyed your stay with us! I’m sure our entire staff enjoyed catering to your needs as much as you enjoyed your stay. Nothing pleases us more than hearing your compliments about our  facilities and services. We will share your words with our entire team. Do checkout our Facebook page for promos that you might be interested in. We are looking forward to seeing you again soon. Thank you again.,"Responded August 31, 2020"
7,d13390993,r757904470,https://www.tripadvisor.com/ShowUserReviews-g294217-d13390993-r757904470-The_Otto_Hotel-Hong_Kong.html,"VERY CLEAN AND SPOTLESS, FRIENDLY STAFF, GREAT LOCATION, REASONABLY PRICE!!","Reviewed June 21, 2020 ",bubble_50,D9F4FC1B0C6BCBD989DFBA02A33DCC26,"This hotel located in heart of TST (Tsim Sha Tsui) so I decided to book this hotel because it convenient for me travel especially you have subway just outside hotel and loads of taxi go pass the hotel not even that there a airport express bus just literally 5mins walk from the hotel.Once I arrived in Hong Kong on 30th June after staying at Dorsett Hotel in Tsuen Wan for 14 days quarantine it's the worst hotel to stay so after the quarantine I decided not to stay there lucky I have plan this way back to stay in another hotel after quarantine since February.Once I arrived to this hotel I greetings by security officer/ which they are really helpful and friendly helping you take to the lift and hotel lift and press the floor you need to for the receptionArriving at the reception greeting from the reception staff they are friendly and helpful and I was too early to check-in so they let me check-in and they also see if the room is ready and the room was ready so they told me to leave your luggage at reception and come back an hour time your room should be ready so I come back an hour time and the room is ready and also they told me we have upgraded your room.So I went to the room and check it out. I mean it's small but the hotel is lovely and room is fantastic and stylish but most important is the room is very clean to be honest you just need a room to sleep unless you going to stay in the room all day lol and it's reasonable price.There is mini fridge which is free I think it one time according to the reception because there no pricelist of the drink in the mini fridge.l but the cleaner top it up everyday when cleaning the room. I haven't take any drink after they top up the fridge. If you have taken any drink after they top up the fridge let me know lol.The only thing is there no hdmi input or google casting also the cable TV is not HD only the local channel is HD. Overall the stay is so perfect because the hotel is near to all local restaurant, shopping district and bars.I would like to say thank you all the staff.I would love to come back and stay here and that I will be definitely for the price I pay for and definitely recommend friends and family to stay this amazing hotel.",1,"Dear kbtang88,Thank you for staying at The Otto Hotel and sharing your valuable comments with us. We are glad to learn that you do very much enjoy your stay. Your compliments are truly appreciated, and we look forward to the opportunity of welcoming you back again in the not-too-distant future.Anthea Kwok | Assistant Reservations and Administration Manager","Responded July 2, 2020"
8,d2215912,r817899759,https://www.tripadvisor.com/ShowUserReviews-g294217-d2215912-r817899759-Vela_Boutique_Hotel-Hong_Kong.html,Poor quality,"Reviewed November 8, 2021 ",bubble_20,4434123DBA4F014996EF27B0274E7F4C,"We stayed at the Vela Boutique Hotel for our 21-day quarantine. This hotel was truly terrible. The meals were alright (very local) but the variety was terrible – think noodles for literally every meal. I saw pictures of meals from other quarantine hotels and I was heartbroken when I saw that other people were getting fruit and even extras like welcome care packages. One day, we got sandwiches for lunch – that was the highlight! Besides this, the rooms are very small and very poorly ventilated, and it was clear that no one bothered dusting after the person before us left. They gave us one towel each for 21 days and seemed annoyed when we asked for more to be delivered. I see they're not on the list of quarantine hotels anymore – thank goodness – but even if they were a ""normal hotel,"" I wouldn't stay there and I wouldn't recommend anyone else to.",0,NaN,NaN
9,d6509948,r821099930,https://www.tripadvisor.com/ShowUserReviews-g294217-d6509948-r821099930-Shanghai_Hostel_HK-Hong_Kong.html,Poor customer service,"Reviewed December 5, 2021 ",bubble_10,CCEF5B18599190DC9976CAECB3D561AE,"I booked a room for a week. I booked them before the new measurements to access Hong Kong; measurements due to the Omicron Variant. After the new measurements, because of the quarantine procedure, I was required to spend an additional week in the quarantine hotel (which is not this one). That notice disrupted the booking dates of my following up bookings, meaning for me to adapt my booking dates one week. Other bookings I had didn't have any inconvenience to adapt my necessity as a customer to their service. No, these people just justify their negative with their ""we don't give blablabla""talk, yeah sure you may are not be required to give anything. Yet, you show poor service to your customer. I tell you as a fellow traveler, knowing that a hotel can't guaranty this type of action, is very inconvenient at pandemic times where uncertainty is at the door. Also, there are competitors for similar prices.",0,NaN,NaN
